TIME;TPF ALL AVG
2025-11-06 20:55:00;-0,68
2025-11-06 21:05:00;-0,71
2025-11-06 21:15:00;-0,67
2025-11-06 21:25:00;-0,67
2025-11-06 21:35:00;-0,67
2025-11-06 21:45:00;-0,7
2025-11-06 21:55:00;-0,7
2025-11-06 22:05:00;-0,69
2025-11-06 22:15:00;-0,69
2025-11-06 22:25:00;-0,68
2025-11-06 22:35:00;-0,66
2025-11-06 22:45:00;-0,64
2025-11-06 22:55:00;-0,61
2025-11-06 23:05:00;-0,32
2025-11-06 23:15:00;-0,14
2025-11-06 23:25:00;-0,14
2025-11-06 23:35:00;-0,13
2025-11-06 23:45:00;-0,08
2025-11-06 23:55:00;-0,09
2025-11-07 00:05:00;-0,09
2025-11-07 00:15:00;-0,06
2025-11-07 00:25:00;0,02
2025-11-07 00:35:00;0,03
2025-11-07 00:45:00;0,02
2025-11-07 00:55:00;0,02
2025-11-07 01:05:00;0,03
2025-11-07 01:15:00;0,02
2025-11-07 01:25:00;0,02
2025-11-07 01:35:00;0,03
2025-11-07 01:45:00;0,03
2025-11-07 01:55:00;0,03
2025-11-07 02:05:00;0,03
2025-11-07 02:15:00;0,02
2025-11-07 02:25:00;0,02
2025-11-07 02:35:00;0,02
2025-11-07 02:45:00;-0,04
2025-11-07 02:55:00;-0,1
2025-11-07 03:05:00;-0,1
2025-11-07 03:15:00;-0,1
2025-11-07 03:25:00;-0,1
2025-11-07 03:35:00;-0,09
2025-11-07 03:45:00;-0,09
2025-11-07 03:55:00;-0,09
2025-11-07 04:05:00;-0,09
2025-11-07 04:15:00;-0,09
2025-11-07 04:25:00;-0,09
2025-11-07 04:35:00;-0,09
2025-11-07 04:45:00;-0,09
2025-11-07 04:55:00;-0,09
2025-11-07 05:05:00;-0,09
2025-11-07 05:15:00;-0,09
2025-11-07 05:25:00;-0,09
2025-11-07 05:35:00;-0,09
2025-11-07 05:45:00;-0,09
2025-11-07 05:55:00;-0,09
2025-11-07 06:05:00;-0,08
2025-11-07 06:15:00;-0,08
2025-11-07 06:25:00;-0,09
2025-11-07 06:35:00;-0,08
2025-11-07 06:45:00;-0,08
2025-11-07 06:55:00;-0,08
2025-11-07 07:05:00;-0,08
2025-11-07 07:15:00;-0,09
2025-11-07 07:25:00;-0,33
2025-11-07 07:35:00;-0,58
2025-11-07 07:45:00;-0,67
2025-11-07 07:55:00;-0,77
2025-11-07 08:05:00;-0,76
2025-11-07 08:15:00;-0,74
2025-11-07 08:25:00;-0,74
2025-11-07 08:35:00;-0,73
2025-11-07 08:45:00;-0,73
2025-11-07 08:55:00;-0,69
2025-11-07 09:05:00;-0,44
2025-11-07 09:15:00;-0,29
2025-11-07 09:25:00;-0,19
2025-11-07 09:35:00;-0,18
2025-11-07 09:45:00;-0,17
2025-11-07 09:55:00;-0,16
2025-11-07 10:05:00;-0,17
2025-11-07 10:15:00;-0,16
2025-11-07 10:25:00;-0,16
2025-11-07 10:35:00;-0,16
2025-11-07 10:45:00;-0,17
2025-11-07 10:55:00;-0,16
2025-11-07 11:05:00;-0,19
2025-11-07 11:15:00;-0,19
2025-11-07 11:25:00;-0,19
2025-11-07 11:35:00;-0,25
2025-11-07 11:45:00;-0,23
2025-11-07 11:55:00;-0,24
2025-11-07 12:05:00;-0,23
2025-11-07 12:15:00;-0,2
2025-11-07 12:25:00;-0,19
2025-11-07 12:35:00;-0,2
2025-11-07 12:45:00;-0,8
2025-11-07 12:55:00;-0,85
2025-11-07 13:05:00;-0,82
2025-11-07 13:15:00;-0,72
2025-11-07 13:25:00;-0,76
2025-11-07 13:35:00;-0,75
2025-11-07 13:45:00;-0,76
2025-11-07 13:55:00;-0,73
2025-11-07 14:05:00;-0,74
2025-11-07 14:15:00;-0,8
2025-11-07 14:25:00;-0,77
2025-11-07 14:35:00;-0,66
2025-11-07 14:45:00;-0,77
2025-11-07 14:55:00;-0,75
2025-11-07 15:05:00;-0,78
2025-11-07 15:15:00;-0,76
2025-11-07 15:25:00;-0,76
